,index,PmP2QAct,PmP2PAct,PL,FedQAct,elspec_PmEAct,PmP2EImportAct,PV,Met_WdSpd,Met_Temp,Met_IrrGloHoztl,Met_IrrPOA,Met_ModTemo,SysBatIAct,SysBatEAct,SysBatSocTotAct,SysBatVAct,SysBatChargingSt,SysBatDischargingSt,date
1684,16840,-2.746147463033939,14.442455727478555,209.12996045678065,-9.415527400620485,216.2500000046566,12.500000016298145,0.6100151846129256,0.36,10.099999904632568,0.11221945137157108,0.13092269326683292,0.5,-0.33333333333333304,762.2496032714844,69.64999771118165,744.3400024414062,0.5306712962962963,0.5952742250162584,2020-10-12 17:40:00
1685,16850,-1.631321032150931,15.1499919233651,225.22944935089944,-7.8957598119411845,222.49999993946403,15.0,0.6025227769193883,0.76,9.0,0.1745635910224439,0.19326683291770574,0.5,2.666666666666665,761.702392578125,69.59999847412111,744.2833353678385,0.5335648148148148,0.5963581183611533,2020-10-12 17:50:00
1686,16860,-4.807077033766384,19.622129555406236,235.4905624389648,-9.150233343106896,259.9999999953434,19.6875,0.5950303692258511,1.5714285714285714,8.100000381469727,0.23690773067331672,0.25561097256857856,0.5,0.0625,762.2496032714844,69.64999771118165,744.275001525879,0.5364583333333334,0.5974420117060482,2020-10-12 18:00:00
1687,16870,-1.894576817487192,19.237905255679426,222.509472599736,-9.606612941675019,215.00000005122274,17.18749998137355,0.5875379615323139,1.4166666666666667,7.360000133514403,0.29925187032418954,0.3179551122194514,0.5,0.23076923076923,762.2496032714844,69.64999771118165,744.25,0.5393518518518519,0.5985259050509429,2020-10-12 18:10:00
1688,16880,-2.750353828217219,17.7881333545103,234.23511825989334,-7.562134405888548,277.5000000279397,16.875,0.5800455538387767,3.0,7.166666825612386,0.36159600997506236,0.3802992518703242,0.5,-0.6000000000000001,762.2496032714844,69.64999771118165,744.2833353678385,0.5422453703703703,0.5996097983958378,2020-10-12 18:20:00
1689,16890,-4.203641378579022,15.786388733807728,242.54704892193834,-8.284495816647425,267.49999995343387,14.999999979045242,0.5725531461452394,2.5,6.916666746139526,0.4239401496259352,0.442643391521197,0.5,1.666666666666666,761.702392578125,69.59999847412111,744.2166646321616,0.5451388888888888,0.6006936917407327,2020-10-12 18:30:00
1690,16900,-3.374364951482186,15.175848893359696,223.86036850115565,-8.746327476681403,213.75,14.375000009313226,0.5650607384517021,2.0,6.628571442195347,0.486284289276808,0.5049875311720698,0.5,1.2,762.1401611328125,69.63999786376954,744.2166646321616,0.5480324074074074,0.6017775850856276,2020-10-12 18:40:00
1691,16910,-1.482691892463227,14.65312182597625,217.55488332112634,-7.02269315282139,208.74999997671694,15.0,0.5575683307581649,1.75,6.233333587646484,0.5486284289276808,0.5673316708229427,0.5,1.272727272727273,762.2496032714844,69.64999771118165,744.1999969482422,0.5509259259259259,0.6028614784305224,2020-10-12 18:50:00
1692,16920,-3.419928983249495,15.331672130486902,218.1231309370561,-11.377569344666624,208.74999999068677,15.62500002561137,0.5500759230646277,2.2,5.928571496691022,0.6109725685785536,0.6296758104738155,0.5,0.5714285714285711,762.2496032714844,69.64999771118165,744.1714215959822,0.5538194444444444,0.6039453717754173,2020-10-12 19:00:00
1693,16930,-3.4068952294083332,13.64365475753258,228.64435022527516,-8.0557144119626,247.50000001396984,15.0,0.5425835153710905,3.0,5.971428598676409,0.6733167082294265,0.6920199501246883,0.5,0.46666666666666606,762.4320068359375,69.66666412353514,744.1799926757811,0.5567129629629629,0.6050292651203122,2020-10-12 19:10:00
